,Year,Month,Day,Trains
0,2019,1,1,"
                681            "
1,2019,1,2,"
                681            "
2,2019,1,3,"
                681            "
3,2019,1,4,"
                681            "
4,2019,1,5,"
                681            "
5,2019,1,6,"
                681            "
6,2019,1,7,"
                681            "
7,2019,1,8,"
                681            "
8,2019,1,9,"
                681            "
9,2019,1,10,"
                681            "
10,2019,1,11,"
                681            "
11,2019,1,12,"
                681            "
12,2019,1,13,"
                681            "
13,2019,1,14,"
                681            "
14,2019,1,15,"
                681            "
15,2019,1,16,"
                681            "
16,2019,1,17,"
                681            "
17,2019,1,18,"
                681            "
18,2019,1,19,"
                681            "
19,2019,1,20,"
                681            "
20,2019,1,21,"
                681            "
21,2019,1,22,"
                681            "
22,2019,1,23,"
                681            "
23,2019,1,24,"
                681            "
24,2019,1,25,"
                681            "
25,2019,1,26,"
                681            "
26,2019,1,27,"
                681            "
27,2019,1,28,"
                681            "
28,2019,1,29,"
                681            "
29,2019,1,30,"
                681            "
30,2019,1,31,"
                681            "
31,2019,2,1,"
                681            "
32,2019,2,2,"
                681            "
33,2019,2,3,"
                681            "
34,2019,2,4,"
                681            "
35,2019,2,5,"
                681            "
36,2019,2,6,"
                681            "
37,2019,2,7,"
                681            "
38,2019,2,8,"
                681            "
39,2019,2,9,"
                681            "
40,2019,2,10,"
                681            "
41,2019,2,11,"
                681            "
42,2019,2,12,"
                681            "
43,2019,2,13,"
                681            "
44,2019,2,14,"
                681            "
45,2019,2,15,"
                681            "
46,2019,2,16,"
                681            "
47,2019,2,17,"
                681            "
48,2019,2,18,"
                681            "
49,2019,2,19,"
                681            "
50,2019,2,20,"
                681            "
51,2019,2,21,"
                681            "
52,2019,2,22,"
                681            "
53,2019,2,23,"
                681            "
54,2019,2,24,"
                681            "
55,2019,2,25,"
                681            "
56,2019,2,26,"
                681            "
57,2019,2,27,"
                681            "
58,2019,2,28,"
                681            "
59,2019,3,1,"
                681            "
60,2019,3,2,"
                681            "
61,2019,3,3,"
                681            "
62,2019,3,4,"
                681            "
63,2019,3,5,"
                681            "
64,2019,3,6,"
                681            "
