,Year,Month,Day,Trains
238,2019,8,27,1010
239,2019,8,28,1008
240,2019,8,29,1008
241,2019,8,30,1081
242,2019,8,31,958
243,2019,9,1,870
244,2019,9,2,1001
245,2019,9,3,1008
246,2019,9,4,1008
247,2019,9,5,1009
248,2019,9,6,1015
249,2019,9,7,902
250,2019,9,8,832
251,2019,9,9,1027
252,2019,9,10,1030
253,2019,9,11,1016
254,2019,9,12,1031
255,2019,9,13,1112
256,2019,9,14,779
257,2019,9,15,716
258,2019,9,16,1039
259,2019,9,17,1035
260,2019,9,18,1029
261,2019,9,19,1022
262,2019,9,20,1043
263,2019,9,21,900
264,2019,9,22,818
265,2019,9,23,1003
266,2019,9,24,1013
267,2019,9,25,1016
268,2019,9,26,1017
269,2019,9,27,1035
270,2019,9,28,1122
271,2019,9,29,981
272,2019,9,30,1032
273,2019,10,1,1072
274,2019,10,2,1118
275,2019,10,3,1013
276,2019,10,4,1024
277,2019,10,5,918
278,2019,10,6,826
279,2019,10,7,1018
280,2019,10,8,1028
281,2019,10,9,1063
282,2019,10,10,1011
283,2019,10,11,1020
284,2019,10,12,937
285,2019,10,13,848
286,2019,10,14,1016
287,2019,10,15,1057
288,2019,10,16,1031
289,2019,10,17,1021
290,2019,10,18,1048
291,2019,10,19,919
292,2019,10,20,829
293,2019,10,21,1036
294,2019,10,22,1019
295,2019,10,23,1039
296,2019,10,24,1017
297,2019,10,25,1098
298,2019,10,26,777
299,2019,10,27,650
300,2019,10,28,1011
301,2019,10,29,1057
302,2019,10,30,1080
303,2019,10,31,1024
304,2019,11,1,1085
305,2019,11,2,912
306,2019,11,3,853
307,2019,11,4,1153
308,2019,11,5,1046
309,2019,11,6,1013
310,2019,11,7,1057
311,2019,11,8,1050
312,2019,11,9,902
313,2019,11,10,845
314,2019,11,11,1006
315,2019,11,12,1019
316,2019,11,13,1109
317,2019,11,14,1046
318,2019,11,15,1031
319,2019,11,16,907
320,2019,11,17,840
321,2019,11,18,1026
322,2019,11,19,1018
323,2019,11,20,1047
324,2019,11,21,1033
325,2019,11,22,1051
326,2019,11,23,915
327,2019,11,24,854
328,2019,11,25,1028
329,2019,11,26,1044
330,2019,11,27,1089
331,2019,11,28,1051
332,2019,11,29,1102
333,2019,11,30,915
334,2019,12,1,823
335,2019,12,2,1025
336,2019,12,3,1048
337,2019,12,4,1064
338,2019,12,5,1016
339,2019,12,6,1035
340,2019,12,7,808
341,2019,12,8,717
342,2019,12,9,1018
343,2019,12,10,1032
344,2019,12,11,1029
345,2019,12,12,1050
346,2019,12,13,1032
347,2019,12,14,906
348,2019,12,15,826
349,2019,12,16,1038
350,2019,12,17,1056
351,2019,12,18,1084
352,2019,12,19,1074
353,2019,12,20,1054
354,2019,12,21,910
355,2019,12,22,825
356,2019,12,23,1113
357,2019,12,24,1047
358,2019,12,25,813
359,2019,12,26,812
360,2019,12,27,1053
361,2019,12,28,927
362,2019,12,29,818
363,2019,12,30,1058
364,2019,12,31,885
365,2020,1,1,816
366,2020,1,2,1061
367,2020,1,3,1051
368,2020,1,4,903
369,2020,1,5,803
370,2020,1,6,1064
371,2020,1,7,1065
372,2020,1,8,1071
373,2020,1,9,1107
374,2020,1,10,1053
375,2020,1,11,873
376,2020,1,12,784
377,2020,1,13,1071
378,2020,1,14,1043
379,2020,1,15,1046
380,2020,1,16,1040
381,2020,1,17,1085
382,2020,1,18,919
383,2020,1,19,803
384,2020,1,20,1065
385,2020,1,21,1063
386,2020,1,22,1041
387,2020,1,23,1043
388,2020,1,24,1062
389,2020,1,25,922
390,2020,1,26,738
391,2020,1,27,1073
392,2020,1,28,1117
393,2020,1,29,1130
394,2020,1,30,1113
395,2020,1,31,1058
396,2020,2,1,903
397,2020,2,2,819
398,2020,2,3,1039
399,2020,2,4,1058
400,2020,2,5,1119
401,2020,2,6,1084
402,2020,2,7,1060
403,2020,2,8,955
404,2020,2,9,901
405,2020,2,10,1124
406,2020,2,11,1258
407,2020,2,12,1045
408,2020,2,13,1062
409,2020,2,14,1072
410,2020,2,15,908
411,2020,2,16,910
412,2020,2,17,1084
413,2020,2,18,1059
414,2020,2,19,1043
415,2020,2,20,1053
416,2020,2,21,1112
417,2020,2,22,1261
418,2020,2,23,1153
419,2020,2,24,1432
420,2020,2,25,1177
421,2020,2,26,1138
422,2020,2,27,1152
423,2020,2,28,1453
424,2020,2,29,1278
425,2020,3,1,1176
426,2020,3,2,1085
427,2020,3,3,1052
428,2020,3,4,1050
429,2020,3,5,1064
430,2020,3,6,1058
431,2020,3,7,871
432,2020,3,8,794
433,2020,3,9,1040
434,2020,3,10,1105
435,2020,3,11,1046
436,2020,3,12,1045
437,2020,3,13,1052
438,2020,3,14,902
439,2020,3,15,815
440,2020,3,16,1054
441,2020,3,17,1072
442,2020,3,18,1088
443,2020,3,19,1131
444,2020,3,20,1155
445,2020,3,21,932
446,2020,3,22,855
447,2020,3,23,1085
448,2020,3,24,1046
449,2020,3,25,1100
450,2020,3,26,1101
451,2020,3,27,1121
452,2020,3,28,963
453,2020,3,29,865
